,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Off_Rating_Home,Off_Rating_Away
0,0021900002,1610612746,1610612747,19068,112,102,25,24,200834,201640,203592,115.5,105.2
1,0021900001,1610612761,1610612740,20787,130,122,24,34,200833,201639,2529,113.0,108.9
2,0021900008,1610612755,1610612738,20422,107,93,34,29,201245,2882,1151,103.9,90.3
3,0021900010,1610612759,1610612752,18354,120,111,18,32,202053,1628954,2714,110.1,100.9
4,0021900012,1610612756,1610612758,18055,124,95,25,24,202058,1628951,1194,112.7,88.0
5,0021900006,1610612751,1610612750,17732,126,127,30,22,1204,2003,202041,107.7,106.7
6,0021900005,1610612753,1610612739,18846,94,85,18,15,201637,201638,2715,94.0,85.0
7,0021900007,1610612748,1610612763,19600,120,101,33,31,202026,1628481,101284,105.3,88.6
8,0021900013,1610612757,1610612743,19991,100,108,25,23,1162,1626300,201246,98.0,104.9
9,0021900011,1610612762,1610612760,18306,100,95,31,23,203592,201640,202027,99.0,94.1
10,0021900004,1610612754,1610612765,17923,110,119,28,21,202049,1830,202035,106.8,115.5
11,0021900009,1610612742,1610612764,19816,108,100,22,32,1627964,202007,1174,103.8,96.2
12,0021900003,1610612766,1610612741,15424,126,125,18,20,204058,1188,1179,120.0,120.2
13,0021900016,1610612744,1610612746,18064,122,141,21,24,101283,1626300,1162,113.0,133.0
14,0021900015,1610612745,1610612749,18055,111,117,25,27,204059,1199,2005,101.8,107.3
15,0021900014,1610612765,1610612737,20338,100,117,20,15,203591,1626302,1146,104.2,119.4
16,0021900025,1610612747,1610612762,18997,95,86,21,25,2714,1201,201246,99.0,90.5
17,0021900019,1610612751,1610612752,17732,113,109,26,31,1628172,1179,2004,103.7,100.0
18,0021900017,1610612738,1610612761,18624,112,106,20,28,1193,1204,2530,106.7,101.9
19,0021900024,1610612758,1610612757,17583,112,122,26,23,1628159,201639,2148,105.7,117.3
20,0021900023,1610612743,1610612756,19557,108,107,26,35,202053,203593,201640,100.0,100.9
21,0021900018,1610612766,1610612750,14879,99,121,29,21,1174,1627961,200833,93.4,114.2
22,0021900020,1610612763,1610612741,17794,102,110,21,21,1148,202037,1627524,96.2,103.8
23,0021900022,1610612760,1610612764,18203,85,97,18,21,200834,202035,2003,82.5,92.4
24,0021900021,1610612740,1610612742,17027,116,123,22,19,202058,1198,2534,111.5,118.3
25,0021900033,1610612759,1610612764,18354,124,122,19,15,1626300,2529,201245,124.0,123.2
26,0021900031,1610612741,1610612761,21498,84,108,22,25,202035,202026,1830,79.2,101.9
27,0021900029,1610612752,1610612738,19812,95,118,26,26,2715,1627541,2002,94.1,115.7
28,0021900035,1610612756,1610612746,15802,130,122,34,32,202027,1627962,2714,123.8,117.3
29,0021900032,1610612745,1610612740,18055,126,123,22,30,101284,203592,202049,113.5,110.8
30,0021900030,1610612739,1610612754,19432,110,99,20,27,202056,2882,203591,111.1,100.0
31,0021900027,1610612765,1610612755,16207,111,117,28,26,202007,1626301,202041,102.8,106.4
32,0021900026,1610612749,1610612748,17467,126,131,32,30,1151,1627964,1626302,102.4,107.4
33,0021900034,1610612762,1610612758,18306,113,81,22,19,1162,101283,203593,115.3,82.7
34,0021900028,1610612737,1610612753,17078,103,99,26,15,1188,1199,204058,101.0,98.0
35,0021900040,1610612747,1610612766,18997,120,101,22,20,201639,200832,1627962,117.6,100.0
36,0021900038,1610612742,1610612757,19707,119,121,22,30,1204,201638,2004,110.2,113.1
37,0021900039,1610612750,1610612748,17049,116,109,17,23,1628953,1148,202037,112.6,104.8
38,0021900037,1610612763,1610612751,15517,134,133,29,22,1627961,200834,1174,114.5,113.7
39,0021900036,1610612760,1610612744,18203,120,92,26,15,201637,2534,202058,116.5,89.3
40,0021900048,1610612759,1610612757,18083,113,110,19,27,1188,202058,2534,104.6,100.0
41,0021900042,1610612752,1610612741,19812,105,98,19,22,202041,202901,203591,110.5,103.2
42,0021900049,1610612756,1610612762,14805,95,96,31,26,202049,1628159,2529,92.2,93.2
43,0021900051,1610612746,1610612766,19068,111,96,24,23,1201,101284,202007,109.9,95.0
44,0021900045,1610612745,1610612760,18055,116,112,24,27,101283,1627541,2882,112.6,108.7
45,0021900041,1610612765,1610612754,13565,96,94,18,18,1627519,202026,2530,100.0,97.9
46,0021900046,1610612749,1610612739,17385,129,112,15,22,1162,203593,201245,122.9,105.7
47,0021900043,1610612737,1610612755,14094,103,105,25,29,1628172,1198,1179,97.2,99.1
48,0021900050,1610612758,1610612743,15870,94,101,21,18,1627964,2714,200832,102.2,108.6
49,0021900044,1610612761,1610612753,19800,104,95,20,20,1151,2002,1627524,99.0,91.3
50,0021900047,1610612740,1610612744,17307,123,134,20,22,1627963,204058,2003,111.8,121.8
51,0021900054,1610612747,1610612763,18997,120,91,19,27,201638,1199,1627964,109.1,82.7
52,0021900052,1610612748,1610612737,19600,112,97,22,29,201246,1626300,2003,106.7,93.3
53,0021900053,1610612743,1610612742,16605,106,109,24,14,202027,202037,201639,114.0,117.2
54,0021900057,1610612755,1610612750,20204,117,95,27,21,202053,203591,2148,106.4,86.4
55,0021900065,1610612744,1610612756,18064,110,121,22,22,101284,200832,202007,102.8,113.1
56,0021900059,1610612751,1610612754,17083,108,118,19,24,1193,1627524,1194,106.9,115.7
57,0021900058,1610612738,1610612749,18624,116,105,20,21,1830,203592,204059,114.9,102.9
58,0021900056,1610612753,1610612752,17456,95,83,17,15,1146,201246,1627962,106.7,93.3
59,0021900055,1610612739,1610612741,17595,117,111,21,24,1627963,1179,2002,120.6,113.3
60,0021900063,1610612762,1610612746,18306,110,96,18,22,201638,1204,201639,111.1,98.0
61,0021900064,1610612758,1610612766,15416,111,118,19,17,2715,202049,1626302,108.8,115.7
62,0021900061,1610612764,1610612745,20476,158,159,27,24,1148,202041,1626301,141.1,142.0
63,0021900060,1610612761,1610612765,19800,125,113,22,15,1627961,201245,201640,121.4,108.7
64,0021900062,1610612760,1610612757,18203,99,102,21,30,2529,1155,1198,93.4,95.3
65,0021900068,1610612746,1610612759,19068,103,97,23,28,202049,1199,1627964,102.0,96.0
66,0021900066,1610612737,1610612748,16539,97,106,15,18,1146,200833,202026,100.0,109.3
67,0021900067,1610612740,1610612743,16613,122,107,21,24,1174,2004,2005,118.4,103.9
68,0021900076,1610612744,1610612759,18064,110,127,22,19,201638,2715,1626302,111.1,128.3
69,0021900073,1610612741,1610612765,20671,112,106,18,21,2003,203592,1628172,112.0,105.0
70,0021900069,1610612751,1610612745,17732,123,116,21,21,201246,2530,201245,111.8,105.5
71,0021900072,1610612738,1610612752,18624,104,102,16,23,201640,1188,202058,107.2,104.1
72,0021900071,1610612753,1610612749,15105,91,123,16,19,2148,1193,1155,88.3,119.4
73,0021900070,1610612754,1610612739,16079,102,95,24,21,1151,202901,203591,96.2,89.6
74,0021900074,1610612742,1610612747,20358,110,119,21,21,2882,200834,1201,99.1,106.3
75,0021900075,1610612758,1610612762,16273,102,101,23,18,101284,202007,202037,108.5,105.2
76,0021900083,1610612744,1610612766,18064,87,93,22,15,2004,1199,1628951,95.6,101.1
77,0021900079,1610612753,1610612743,17025,87,91,25,14,1627961,101283,200833,92.6,96.8
78,0021900078,1610612765,1610612751,17222,113,109,18,24,201637,1626300,2534,110.8,105.8
79,0021900084,1610612757,1610612755,19669,128,129,21,23,1628159,101284,202027,121.9,121.7
80,0021900082,1610612749,1610612761,17637,115,105,22,22,1148,1627962,200832,116.2,104.0
81,0021900080,1610612764,1610612750,15150,109,131,18,23,1628954,2005,2530,94.0,113.9
82,0021900081,1610612763,1610612756,14144,105,114,23,20,1146,1198,1627541,102.9,111.8
83,0021900077,1610612760,1610612740,18203,115,104,20,25,2714,1627534,2002,111.7,101.0
84,0021900088,1610612759,1610612747,18610,96,103,18,22,2148,1162,203593,93.2,98.1
85,0021900087,1610612752,1610612758,19812,92,113,23,29,204058,1830,202056,94.8,116.5
86,0021900090,1610612746,1610612762,19068,105,94,25,30,2715,1179,1626302,109.4,96.9
87,0021900089,1610612739,1610612742,18078,111,131,14,21,1193,1194,1627529,112.1,133.7
88,0021900086,1610612748,1610612745,19724,129,100,21,24,1151,1627964,203592,117.3,92.6
89,0021900085,1610612754,1610612741,17073,108,95,24,21,2882,202053,1201,103.8,91.3
90,0021900096,1610612744,1610612757,18064,127,118,17,23,1204,1174,2002,127.0,118.0
91,0021900095,1610612756,1610612755,14285,114,109,24,29,2004,202037,1199,107.5,103.8
92,0021900092,1610612751,1610612740,17194,135,125,18,26,1628954,2882,204059,121.6,111.6
93,0021900094,1610612750,1610612749,16271,106,134,23,20,1198,201640,202035,95.5,119.6
94,0021900091,1610612764,1610612765,13052,115,99,23,20,2529,1627541,200834,117.3,100.0
95,0021900093,1610612763,1610612745,14197,100,107,21,21,101283,1627962,202058,97.1,102.9
96,0021900100,1610612741,1610612747,21193,112,118,21,18,101284,1627529,201246,107.7,112.4
97,0021900098,1610612739,1610612738,17709,113,119,18,23,2530,202007,1628481,109.7,115.5
98,0021900099,1610612737,1610612759,14025,108,100,20,17,202056,200832,2003,104.9,98.0
