,Unnamed: 0,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Home_Team,Away_Team
0,0,21900002,1610612746,1610612747,19068.0,112,102,25,24,203592,200834,201640,Los Angeles Clippers,Los Angeles Lakers
1,1,21900001,1610612761,1610612740,20787.0,130,122,24,34,200833,201639,2529,Toronto Raptors,New Orleans Pelicans
2,2,21900008,1610612755,1610612738,20422.0,107,93,34,29,1151,201245,2882,Philadelphia 76ers,Boston Celtics
3,3,21900010,1610612759,1610612752,18354.0,120,111,18,32,202053,1628954,2714,San Antonio Spurs,New York Knicks
4,4,21900012,1610612756,1610612758,18055.0,124,95,25,24,202058,1628951,1194,Phoenix Suns,Sacramento Kings
5,5,21900006,1610612751,1610612750,17732.0,126,127,30,22,1204,2003,202041,Brooklyn Nets,Minnesota Timberwolves
6,6,21900005,1610612753,1610612739,18846.0,94,85,18,15,201637,201638,2715,Orlando Magic,Cleveland Cavaliers
7,7,21900007,1610612748,1610612763,19600.0,120,101,33,31,202026,1628481,101284,Miami Heat,Memphis Grizzlies
8,8,21900013,1610612757,1610612743,19991.0,100,108,25,23,1162,1626300,201246,Portland Trail Blazers,Denver Nuggets
9,9,21900004,1610612754,1610612765,17923.0,110,119,28,21,202049,1830,202035,Indiana Pacers,Detroit Pistons
10,10,21900011,1610612762,1610612760,18306.0,100,95,31,23,203592,201640,202027,Utah Jazz,Oklahoma City Thunder
11,11,21900009,1610612742,1610612764,19816.0,108,100,22,32,1627964,202007,1174,Dallas Mavericks,Washington Wizards
12,12,21900003,1610612766,1610612741,15424.0,126,125,18,20,204058,1188,1179,Charlotte Hornets,Chicago Bulls
13,13,21900016,1610612744,1610612746,18064.0,122,141,21,24,101283,1626300,1162,Golden State Warriors,Los Angeles Clippers
14,14,21900015,1610612745,1610612749,18055.0,111,117,25,27,204059,1199,2005,Houston Rockets,Milwaukee Bucks
15,15,21900014,1610612765,1610612737,20338.0,100,117,20,15,1626302,1146,203591,Detroit Pistons,Atlanta Hawks
16,16,21900025,1610612747,1610612762,18997.0,95,86,21,25,1201,2714,201246,Los Angeles Lakers,Utah Jazz
17,17,21900019,1610612751,1610612752,17732.0,113,109,26,31,1628172,1179,2004,Brooklyn Nets,New York Knicks
18,18,21900017,1610612738,1610612761,18624.0,112,106,20,28,2530,1193,1204,Boston Celtics,Toronto Raptors
19,19,21900024,1610612758,1610612757,17583.0,112,122,26,23,201639,1628159,2148,Sacramento Kings,Portland Trail Blazers
20,20,21900023,1610612743,1610612756,19557.0,108,107,26,35,202053,203593,201640,Denver Nuggets,Phoenix Suns
21,21,21900018,1610612766,1610612750,14879.0,99,121,29,21,1174,1627961,200833,Charlotte Hornets,Minnesota Timberwolves
22,22,21900020,1610612763,1610612741,17794.0,102,110,21,21,1148,202037,1627524,Memphis Grizzlies,Chicago Bulls
23,23,21900021,1610612740,1610612742,17027.0,116,123,22,19,1198,2534,202058,New Orleans Pelicans,Dallas Mavericks
24,24,21900022,1610612760,1610612764,18203.0,85,97,18,21,2003,200834,202035,Oklahoma City Thunder,Washington Wizards
25,25,21900033,1610612759,1610612764,18354.0,124,122,19,15,2529,201245,1626300,San Antonio Spurs,Washington Wizards
26,26,21900031,1610612741,1610612761,21498.0,84,108,22,25,202035,202026,1830,Chicago Bulls,Toronto Raptors
27,27,21900029,1610612752,1610612738,19812.0,95,118,26,26,2002,2715,1627541,New York Knicks,Boston Celtics
28,28,21900035,1610612756,1610612746,15802.0,130,122,34,32,202027,1627962,2714,Phoenix Suns,Los Angeles Clippers
29,29,21900032,1610612745,1610612740,18055.0,126,123,22,30,101284,203592,202049,Houston Rockets,New Orleans Pelicans
30,30,21900030,1610612739,1610612754,19432.0,110,99,20,27,202056,2882,203591,Cleveland Cavaliers,Indiana Pacers
31,31,21900027,1610612765,1610612755,16207.0,111,117,28,26,202007,202041,1626301,Detroit Pistons,Philadelphia 76ers
32,32,21900026,1610612749,1610612748,17467.0,126,131,32,30,1627964,1626302,1151,Milwaukee Bucks,Miami Heat
33,33,21900034,1610612762,1610612758,18306.0,113,81,22,19,101283,203593,1162,Utah Jazz,Sacramento Kings
34,34,21900028,1610612737,1610612753,17078.0,103,99,26,15,1188,1199,204058,Atlanta Hawks,Orlando Magic
35,35,21900040,1610612747,1610612766,18997.0,120,101,22,20,200832,201639,1627962,Los Angeles Lakers,Charlotte Hornets
36,36,21900038,1610612742,1610612757,19707.0,119,121,22,30,201638,1204,2004,Dallas Mavericks,Portland Trail Blazers
37,37,21900039,1610612750,1610612748,17049.0,116,109,17,23,1628953,1148,202037,Minnesota Timberwolves,Miami Heat
38,38,21900037,1610612763,1610612751,15517.0,134,133,29,22,1627961,200834,1174,Memphis Grizzlies,Brooklyn Nets
39,39,21900036,1610612760,1610612744,18203.0,120,92,26,15,2534,201637,202058,Oklahoma City Thunder,Golden State Warriors
40,40,21900048,1610612759,1610612757,18083.0,113,110,19,27,202058,1188,2534,San Antonio Spurs,Portland Trail Blazers
41,41,21900042,1610612752,1610612741,19812.0,105,98,19,22,203591,202041,202901,New York Knicks,Chicago Bulls
42,42,21900049,1610612756,1610612762,14805.0,95,96,31,26,202049,2529,1628159,Phoenix Suns,Utah Jazz
43,43,21900051,1610612746,1610612766,19068.0,111,96,24,23,101284,202007,1201,Los Angeles Clippers,Charlotte Hornets
44,44,21900045,1610612745,1610612760,18055.0,116,112,24,27,1627541,101283,2882,Houston Rockets,Oklahoma City Thunder
45,45,21900041,1610612765,1610612754,13565.0,96,94,18,18,1627519,202026,2530,Detroit Pistons,Indiana Pacers
46,46,21900046,1610612749,1610612739,17385.0,129,112,15,22,1162,201245,203593,Milwaukee Bucks,Cleveland Cavaliers
47,47,21900043,1610612737,1610612755,14094.0,103,105,25,29,1628172,1179,1198,Atlanta Hawks,Philadelphia 76ers
48,48,21900050,1610612758,1610612743,15870.0,94,101,21,18,1627964,2714,200832,Sacramento Kings,Denver Nuggets
49,49,21900044,1610612761,1610612753,19800.0,104,95,20,20,1151,2002,1627524,Toronto Raptors,Orlando Magic
50,50,21900047,1610612740,1610612744,17307.0,123,134,20,22,1627963,204058,2003,New Orleans Pelicans,Golden State Warriors
51,51,21900054,1610612747,1610612763,18997.0,120,91,19,27,201638,1199,1627964,Los Angeles Lakers,Memphis Grizzlies
52,52,21900052,1610612748,1610612737,19600.0,112,97,22,29,201246,1626300,2003,Miami Heat,Atlanta Hawks
53,53,21900053,1610612743,1610612742,16605.0,106,109,24,14,201639,202037,202027,Denver Nuggets,Dallas Mavericks
54,54,21900057,1610612755,1610612750,20204.0,117,95,27,21,2148,202053,203591,Philadelphia 76ers,Minnesota Timberwolves
55,55,21900065,1610612744,1610612756,18064.0,110,121,22,22,101284,200832,202007,Golden State Warriors,Phoenix Suns
56,56,21900059,1610612751,1610612754,17083.0,108,118,19,24,1194,1627524,1193,Brooklyn Nets,Indiana Pacers
57,57,21900058,1610612738,1610612749,18624.0,116,105,20,21,1830,203592,204059,Boston Celtics,Milwaukee Bucks
58,58,21900056,1610612753,1610612752,17456.0,95,83,17,15,1627962,1146,201246,Orlando Magic,New York Knicks
59,59,21900055,1610612739,1610612741,17595.0,117,111,21,24,1627963,1179,2002,Cleveland Cavaliers,Chicago Bulls
